filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
222.in,222,1.00000000129073,-0.0233014700951794,0.0535436288269557,0.273969507054197,0.0414607720324155,-0.00659049257262537,-0.111608312498692,-0.266863160430923,0.00410837744880699,0.0640843837122,0.30725800704603,0.256753412899467,0.274874652071734
224.in,224,1.00000000143975,-0.114630983760899,0.0954725804093405,0.237347620275142,0.104319385387731,-0.0501402008545768,-0.15208586811192,-0.296976337792786,0.0248293702188045,0.0233197135730181,0.335300846466913,0.272605323320081,0.310131245864161
242.in,242,1.00000000108043,-0.116887682473032,0.155100719838438,0.291585418862153,0.0769768834535179,0.0117220067798013,-0.15452519279624,-0.304110777548132,0.0282141210842213,0.0161979173964456,0.37014495363309,0.309287236169365,0.345276342539314
266.in,266,1.00000000110544,-0.10592635496767,0.141427298707768,0.396212735634559,0.0278715325214668,0.00994967420224947,-0.143213916233487,-0.293620954726509,0.0248676910795607,0.0267575329625558,0.455424433281799,0.380107477440085,0.337688510495358
330.in,330,1.00000000132172,-0.0326378017624101,-0.0203395216634027,0.191281931334747,0.057381866241593,0.0687363565932794,-0.076869757953835,-0.372852735708844,0.0029904577981443,0.0860246321260609,0.272259898064738,0.256410409644104,0.256501012939827
385.in,385,1.00000000114421,0.0238628659393764,-0.0332886073983028,0.13162659895099,0.100700847703967,0.0430387809519801,-0.0335589175807733,-0.403488531839685,-0.00784581356482769,0.126361364501026,0.27497153076491,0.269054121557487,0.292803231514389
409.in,409,1.00000000155352,0.0296194533076696,-0.0377293134310187,0.232439329468311,0.0494042203318747,0.0447780647416378,-0.0197169165221248,-0.395021767693992,-0.0101148809775504,0.132541807773299,0.363106721266298,0.341513736890135,0.282448969810384
440.in,440,1.00000000124067,-0.0816025061235194,0.0561463545664114,0.183371334853884,0.0857260438356454,-0.0351214456708719,-0.196756249150318,-0.379352942910934,0.0226403154300148,0.0429293534701439,0.284943813896557,0.290634352122981,0.375311012322046
521.in,521,1.00000000109363,-0.105541964956578,0.0837731701488547,0.186829871254162,0.134920200940623,-0.0962637048724151,-0.196818176915121,-0.438098134433836,0.0232289154395377,0.0455484424098741,0.389701355863004,0.405720887920491,0.442804053184566
531.in,531,1.00000000127821,-0.0298943903515828,0.139679804043336,0.245870663197866,0.0694179248816355,0.100381021738495,-0.160652157608502,-0.414294711377237,0.00755640564318416,0.0837936597471477,0.373261024266685,0.376713832243186,0.449574919798879
582.in,582,1.0000000007704,0.0153570349118203,0.0323551203785269,0.252515202244787,-0.00344629269069231,0.23282150291003,-0.113411850689005,-0.448676749785646,-0.00237992365873346,0.11934172102096,0.315865207145414,0.340518585809775,0.369895668146029
591.in,591,1.00000000097336,-0.0162101472608215,0.0539100439862837,0.245848589077178,0.0532933547142673,0.0613725101390204,-0.135018138741982,-0.459553018080752,0.0032615598723635,0.103286119031971,0.395140071950425,0.418235489030033,0.424087583207826
645.in,645,1.0000000013023,-0.0137509591444594,0.0131877853981142,0.20356553618603,0.0661582595336792,0.0861797544544313,-0.115650995761597,-0.507610444020199,0.00324838844952084,0.116547496396969,0.370549314585104,0.422808222790482,0.413990692156998
687.in,687,1.00000000071908,0.0194294466232957,0.194121839312531,0.170975219167594,0.0723284643599837,0.174973873544291,-0.228840670896662,-0.432303834786063,-0.0117709550473311,0.105875596982688,0.307623246018483,0.351876203834499,0.5409852060491
698.in,698,1.00000000115391,-0.0427881401026889,0.059870537479776,0.314458603999729,0.00118126382766057,0.0510502814523386,-0.247967003541932,-0.460753629317654,0.0142873746722155,0.0692039343934143,0.374325476203658,0.417806338974794,0.465344077441273
725.in,725,1.00000000100715,-0.0623842427157121,0.153037654853926,0.0546675690302887,0.165612048043804,0.0833048656372807,-0.248955420244175,-0.514059794123019,0.0132648464371335,0.0761658175550128,0.268263610343438,0.345084466407137,0.558062350316574
