filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37
61.in,61,1.00000000136936,-0.0166622099120122,0.0824419274458939,0.257031356334983,0.0965927970153306,-0.0344129428802951,-0.0131209247359446,-0.226379295440817,0.0026523968567372,0.0735206456377776,0.343421584199575,0.246442200212683,0.233800515604525,-0.0667811780802921,-0.099584452208325,-0.0567153105292747,0.0390370126890315,0.0639478723643979,0.142254779587686,-0.133772700776148,-0.0405273254061473,0.0155456998043001,0.073805257547561,0.111198554403013,-0.0103277310811802,-0.0647359035118124,-0.0015026997670197,0.0782035013475759,-0.0101929290912391,-0.0446668761754739,-0.006683113116878,0.0583485512043128,-0.0428248638888064,-0.0040130406697544,0.0258745888150817,0.133320864566593,-0.0060100946852112
81.in,81,1.0000000011727,-0.101082412211488,0.183510521011952,0.265743667757317,0.137063594189893,-0.0096585150971044,-0.0560666148261462,-0.247089330731617,0.0210778919035852,0.0339480391688506,0.397860988806382,0.302359554720976,0.303896808945064,-0.0363525594544501,-0.107916731616581,-0.111603950654529,-0.0032847440232242,0.0435988605416914,0.205132611988145,-0.144414176412806,-0.0700412389899185,0.0408682628576993,0.104188165815956,0.135092585396921,-0.0267145965262127,-0.078696897554527,-0.0295130715780941,0.0842087336288811,-0.0238410720923939,-0.0674854958100764,-0.0061890271881948,0.0858976035430576,-0.0342388483525855,-0.0150490895186252,0.0288177298152562,0.179058774070351,-0.0096353734456674
100.in,100,1.00000000113602,-0.213743356463993,0.265168356688852,0.31303243057712,0.126890202320873,0.0528659834353362,-0.132615364572505,-0.297472983492503,0.0506572049078243,-0.0319675563125706,0.451897612449585,0.358562950734309,0.348274809977918,-0.006861671544454,-0.091512356431448,-0.171951319126571,-0.0536559984530206,0.0019439178926614,0.24507207442461,-0.164761804347626,-0.105973464387339,0.0931699034124577,0.130268167994088,0.145681035898752,-0.0467152353896414,-0.0977043834946165,-0.0473360014635925,0.100584184257567,-0.0500095402706137,-0.106088067633629,-0.0085147829524967,0.101460598634743,-0.0244106334376037,-0.0335443376265945,0.0221195904332492,0.200640046029458,-0.0040072613048766
101.in,101,1.00000000090605,-0.175567058570477,0.28387785270186,0.295491985750637,0.158144293720552,0.0176545841074025,-0.0990855319152333,-0.2822043085215,0.037600585691168,-0.0068082904449973,0.470230604240628,0.366557682994285,0.37132466377087,-0.0190149730262866,-0.110630636126567,-0.148252663772989,-0.0484809274692342,0.0185863120810859,0.264486046989772,-0.165962327352315,-0.0903781033432547,0.0698242619622628,0.136429836131853,0.157333297441862,-0.0398018585958088,-0.0981498970723666,-0.0553071609214384,0.0952410924881957,-0.0406242584662386,-0.0887224202931214,-0.0060605444543205,0.108952859502976,-0.0289326421575941,-0.0265280734782729,0.0270970651628875,0.215853841425138,-0.0067482931096469
102.in,102,1.00000000128919,-0.0691959288778654,0.121861860686045,0.433360700803433,0.0001618832080701,0.0797716394489445,-0.0398998186848202,-0.241621848707703,0.0136528535349101,0.0500436767091659,0.450088795329175,0.344769860122638,0.235974237793131,-0.0469580326469798,0.0163209809014096,-0.0858763363272838,-0.0236866356266421,0.046557245490903,0.163098762536969,-0.186511044657242,-0.0592962302330805,0.0328225284990964,0.172547382685445,0.116763222187692,-0.019368027088906,-0.116681029455171,-0.0172044576690974,0.14263967861557,-0.0207082679672853,-0.0576123646333238,-0.0074155787233446,0.0681827322202248,-0.0382676213329959,-0.0145690504421809,0.0154083334620342,0.178693559763437,0.0058799467253098
103.in,103,1.00000000128675,-0.0116921793541729,0.142402477293257,0.409845906905119,0.0330901007063598,0.041685068886079,-0.0144157305303932,-0.225435109169227,0.002895393934057,0.0752851512594773,0.460055320508874,0.361396205092935,0.260471009361748,-0.0645780384576733,-0.0111196383927347,-0.0559070994120336,-0.0182817833402585,0.0604096691235396,0.175939487651266,-0.185821444007666,-0.0413019289568031,0.0134899222753672,0.165202763436794,0.128506261308676,-0.0091918969161236,-0.114462487010093,-0.0179773929643395,0.134188482380603,-0.0111932966898712,-0.045399635414213,-0.0076057121630584,0.0734637706062688,-0.0415618888657181,-0.0081916204300197,0.0197951015169539,0.19114557665618,0.0021476455185358
104.in,104,1.00000000106927,-0.148840658561782,0.155157576031507,0.404623795667473,0.0527336707474251,0.0218384710409277,-0.0768338916779452,-0.276219949506467,0.0323169324553582,0.0098252415944566,0.472329663756364,0.3564816213537,0.273180233988585,-0.0251857463865884,-0.0224229043883336,-0.124654199650501,-0.0129728722990078,0.0224952845490894,0.194448459625142,-0.18748322995806,-0.0841567292218093,0.0600700123808451,0.167363904764278,0.133801426925959,-0.0339644683049017,-0.113523411975682,-0.0224031541033562,0.130997761198719,-0.0323695459895998,-0.0802590681460786,-0.0060090403057062,0.0774801125636982,-0.0280593878939639,-0.0239170249096896,0.0243941316481532,0.198890133467883,-0.002488148442695
105.in,105,1.00000000125702,-0.0947500000431829,0.186515488000193,0.374664952346288,0.0920717255595573,-0.004810855566731,-0.0572244159513308,-0.253345143288349,0.0236375313488301,0.0346582259885054,0.489372956143982,0.382434303233171,0.306247669522254,-0.043700901139766,-0.0510003867989177,-0.102542270453748,-0.0120095277928234,0.0390134025519003,0.208555095442992,-0.185015285953532,-0.062990461960075,0.0432597857490117,0.162879103979249,0.145869401756423,-0.023845651073005,-0.114881425791962,-0.0287902350866559,0.121234960041416,-0.0250514243824136,-0.0681854818116519,-0.0066599681471121,0.0853561286159993,-0.0348997912021222,-0.0188860553869738,0.0286137397213678,0.213917124869281,-0.0062491002248805
107.in,107,1.00000000104218,-0.174659500987573,0.232478482689123,0.348943296747955,0.139089198389531,-0.0530236152113472,-0.0989065221962585,-0.281630110750867,0.0391161848217832,-0.0063396817610769,0.513629992945946,0.408058886466146,0.351240764036007,-0.0199290278013009,-0.0852163941885414,-0.148503150837376,-0.005379379410236,0.0173065654558679,0.240043369989506,-0.182662980346157,-0.0898546309339572,0.0698881485123697,0.167789303465921,0.164121710000896,-0.0376862782096049,-0.117451025910377,-0.0387224598581236,0.111856787483127,-0.0398685489439457,-0.0899356487886122,-0.0066771323049768,0.0946505463306162,-0.0283087417674164,-0.0248907822532294,0.0361482572439975,0.239845681302842,-0.0153773757527713
108.in,108,1.00000000117886,-0.0520071453848681,0.0814902564534257,0.178877179841165,0.100647604356742,0.101562828715635,-0.0200167401921163,-0.295171426529705,0.011832465163678,0.0669973596240284,0.263130561841601,0.199550723924391,0.234289064521042,-0.0632325674365297,-0.123399559970458,-0.0833614834985989,-0.0020367078550322,0.0761847118447264,0.176999399755162,-0.129659395076596,-0.0730128104566095,0.0413451953100404,0.054950742350063,0.0898724197093365,-0.0352955763477389,-0.0454254395663289,-0.0060884111306501,0.0706494725253151,-0.0129564034746552,-0.0545334345508009,-0.0037278616947103,0.0698693538161834,-0.0493291806394338,-0.0198246035470506,0.0062004380660794,0.0915428148341072,0.0106007093543634
109.in,109,1.00000000146085,-0.0118113513434566,0.108588750008021,0.16201871677583,0.14309056247863,0.0826983789616261,0.0150597446681681,-0.263750044285443,0.0015520521228191,0.0867820073110249,0.277850418760842,0.213573065436657,0.25520998285183,-0.0780929842044652,-0.140910887700992,-0.0571431764040193,-0.0004040648765298,0.0882249283661194,0.195926259559758,-0.122567028285701,-0.0595863784609856,0.0210013141704006,0.0580893969298928,0.0984466002475161,-0.0279243631722339,-0.0458397503469165,-0.0156637826218333,0.0635163461545586,-0.0052341760728947,-0.0410558120486664,-0.0022095865477251,0.078488043270716,-0.0541085619005453,-0.0140444037419665,0.0073074517156325,0.102512113993172,0.0103371693358859
111.in,111,1.00000000112108,-0.0961908877158641,0.162183173089836,0.129230676225315,0.195383027199626,0.0271070333903437,-0.0391534563950614,-0.301608355843962,0.0218292232810615,0.0469432967469789,0.312355061493533,0.239229201623161,0.302252618108093,-0.0509819617323677,-0.190597546725071,-0.105494400387537,0.0076066219947665,0.0646616600013145,0.229305091764616,-0.125434356766226,-0.0865774439143733,0.0536642154432067,0.0550527258170305,0.11879836749312,-0.0445726286464638,-0.0452884356645886,-0.025442574793294,0.0508273529355378,-0.0184146679291552,-0.0666666603750083,-0.0034427405313041,0.0869581762637371,-0.0454336785419435,-0.0253752854608773,0.0183175337696354,0.131373536147039,-0.0017683048106088
112.in,112,1.00000000122965,-0.234201353478598,0.177168262177069,0.1090753826818,0.216841427741565,0.0037580783685756,-0.103075710780988,-0.344333507442297,0.0496880610724441,-0.018112019761565,0.306140729174113,0.241270216681783,0.3135439827734,-0.0157760150397467,-0.193353840369216,-0.174206206745281,0.009432616249783,0.0284420766856893,0.235367624843798,-0.119965230055643,-0.122807663692476,0.0965510056559182,0.0620216956056045,0.124162623829147,-0.0661193819425668,-0.0426979089171786,-0.0251361932901127,0.0443948188120918,-0.041717192998371,-0.0962959725551461,-0.0027142931940949,0.0898754195028819,-0.035030870399041,-0.0420619216911824,0.0187730579841552,0.135513536158835,-0.0025766689957079
113.in,113,1.00000000111526,-0.17682270648838,0.211837253255072,0.0861953584062359,0.245188561186816,-0.0236646181308788,-0.0848728123707752,-0.331386256856001,0.038638854329488,0.0023719042026943,0.328879340343269,0.263522612898168,0.352580305549876,-0.0302785279905458,-0.224259513080887,-0.150900774325064,0.0136736049715755,0.0442265464978061,0.260346997092294,-0.121573483309952,-0.107933746375491,0.0814382466401501,0.0536556996470725,0.135190607594789,-0.0563945839488738,-0.0475058609392314,-0.0377189257096243,0.0371775411782506,-0.0362378450149994,-0.0886944930889818,-0.0019563409604514,0.0988998915702423,-0.0403187535351452,-0.0327405002363445,0.0255478687882028,0.152331382881678,-0.0087425085376037
114.in,114,1.00000000157418,-0.068653333467803,0.0202960094648135,0.239040619807164,0.0877790991100756,0.0263603624085759,-0.0193612557858862,-0.289632891343574,0.0158424960679743,0.058662431799296,0.311941560783905,0.233405275513142,0.202298065433785,-0.0658256984806315,-0.0996728779085681,-0.0853751577764578,0.0451181677682251,0.0721208359147541,0.151030070159746,-0.143795808061039,-0.0794121767035403,0.0414790516299755,0.0901367508790217,0.0946741526814925,-0.0377240461655021,-0.0642757930917937,0.0079709426362282,0.0862396493075973,-0.0138521575997591,-0.0597416279285825,-0.0031119571225135,0.0523816653919828,-0.0490361444853216,-0.0236605432751502,0.0133058342381425,0.110094962559388,0.0063852738934767
115.in,115,1.00000000112996,-0.0146217872550056,0.0539856489839577,0.214094032605102,0.112245938361383,-0.0016547159398451,0.009118698401248,-0.275899122620926,0.0061241614662731,0.0825533802021995,0.328014106724373,0.249455077680235,0.229156165272833,-0.072726791727518,-0.118259775076765,-0.0566704222407608,0.0458974380541048,0.0858963840101754,0.173394232048789,-0.145071783715848,-0.0649066345236343,0.0281731201498487,0.0936417144802272,0.10877592396664,-0.0285868867568847,-0.0626489600161419,0.003597322248759,0.0813264344084524,-0.0041356892050037,-0.0439666880186399,-0.0016756529632966,0.062163250307294,-0.0516959101707873,-0.0157179451672928,0.0203673301137198,0.125867517960437,-0.0005024158630263
117.in,117,1.00000000125948,-0.0937942826508851,0.105786627219363,0.171005904224864,0.169372076422091,-0.0561687784692858,-0.037377494146254,-0.303937198282123,0.0183369384922226,0.0441606421706015,0.34168638222419,0.272433117052116,0.282356155152453,-0.0485396744047831,-0.157524990143348,-0.106329528365759,0.0590324000975967,0.0673974638495062,0.202729062545506,-0.141195918591601,-0.0860347255391588,0.0538857112806447,0.0885492382798234,0.124736400476352,-0.0432538557086666,-0.061828766533473,-0.0059832503963218,0.0674085065159597,-0.0203724788794292,-0.0635787009211164,-0.0024705452492379,0.0704776562523195,-0.0461066148322855,-0.0220547258440536,0.0278872633790385,0.151066380595848,-0.0106573115192075
118.in,118,1.00000000123382,-0.226066049451693,0.109233264574623,0.16882857903181,0.190626507806846,-0.0811727678490379,-0.108920112952312,-0.35174677094459,0.0479961702570784,-0.0166246824364214,0.356896210357324,0.281431895270218,0.292271272486397,-0.019903669013135,-0.170663692276066,-0.176491920357773,0.0606197272554284,0.0249502132356324,0.207328174167072,-0.140737589184929,-0.121606877733679,0.0965692279233188,0.0853604052749058,0.132442464236434,-0.0650722410360255,-0.0616189858781755,-0.0064021671353299,0.0648955593355086,-0.0419944225289173,-0.0997770339427413,-0.0059297974528395,0.0724093250892673,-0.0362277960920957,-0.0427773969803992,0.0282306024450895,0.154723155754926,-0.0151179683299865
