filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
225.in,225,1.00000000130555,-0.0551643735280445,0.126961101547119,0.216911923048083,0.125668943979389,-0.105672904534819,-0.127555452949066,-0.284525406449265,0.0112282401905128,0.0465184673052187,0.342219544459889,0.285731095514427,0.347928279108211
226.in,226,1.00000000132738,-0.19197487738319,0.148950193321186,0.187577845548601,0.163209994166135,-0.123868467556115,-0.196927641606259,-0.327688066053285,0.0398288656449086,-0.0180600451900023,0.343895603074276,0.298011873442219,0.365304175917754
227.in,227,1.00000000110531,-0.143675913735844,0.170472426373882,0.16887036208972,0.194616045622396,-0.152216529926937,-0.173835414562205,-0.31018116912658,0.0305901792867144,0.0071121883036366,0.359863795651886,0.312168908826666,0.393708111123993
229.in,229,1.00000000114597,0.0248171519540221,0.0235420015094909,0.301650961943858,0.0563677345508482,-0.121709901313351,-0.090147676931368,-0.256720170338342,-0.0052268612899393,0.0854676626471683,0.357545510095496,0.30585974722995,0.281247155988291
233.in,233,1.00000000097783,-0.151947952680732,0.101875548267731,0.217539122409561,0.172150971113572,-0.23034265148647,-0.166894495876731,-0.311129975069586,0.0376993435262165,0.00575017967539,0.398778365978899,0.34387662305502,0.352773118626264
238.in,238,1.00000000155601,-0.185247440870993,0.265233823602234,0.191183186207284,0.16047605968866,0.0348724861438224,-0.189338709728766,-0.328160717103975,0.0391726381689651,-0.013637463669006,0.341067815457005,0.294735368053517,0.415745934380366
241.in,241,1.0000000014032,0.0228460830796999,0.140793692099303,0.301756597176272,0.0579611929733281,0.0401658178545528,-0.0755544537340603,-0.246752611496414,-0.0065471938535589,0.0910665854821799,0.36345350952288,0.298389017248152,0.324616081461222
242.in,242,1.00000000108043,-0.116887682473032,0.155100719838438,0.291585418862153,0.0769768834535179,0.0117220067798013,-0.15452519279624,-0.304110777548132,0.0282141210842213,0.0161979173964456,0.37014495363309,0.309287236169365,0.345276342539314
244.in,244,1.0000000012766,-0.197112720603855,0.200280078187533,0.253045057668039,0.141990288859282,-0.0435662287008713,-0.191129153487493,-0.328830540199963,0.0446716164570938,-0.0201892189573585,0.392239565803551,0.332321712276446,0.388289363939974
245.in,245,1.00000000108244,-0.148389633265305,0.23625673397893,0.225482123642872,0.172672273111835,-0.0682933202800514,-0.174673837827754,-0.312546992002891,0.0305878266510786,0.0010782151178109,0.410149188241367,0.33921145373186,0.41963517663011
246.in,246,1.00000000115201,-0.0305301022129747,0.0560049453201995,0.38499957161569,-0.014199512968107,-0.0015734232291915,-0.116522857223291,-0.27070423083934,0.0032665556632785,0.0618998530621735,0.396742954702857,0.330461694135787,0.280245743066443
247.in,247,1.0000000013478,0.0237847494301816,0.0698103390739785,0.363432870191399,0.0313643610063893,-0.050069653396124,-0.0801940084225448,-0.251014986555655,-0.004440659977431,0.0834104421447601,0.406393746879285,0.337606997551461,0.294531394647811
248.in,248,1.00000000126034,-0.10923449703744,0.0988907632324818,0.338788511810944,0.0542947493283808,-0.0608904747463276,-0.151119987025858,-0.296859334492076,0.022096938164283,0.0200947772592677,0.41370867555153,0.346679025220664,0.318241930178862
249.in,249,1.00000000100705,-0.0491681315198735,0.109027431017384,0.325393786841082,0.0798435162944064,-0.100632694635809,-0.119848216117075,-0.282289798920726,0.0092820734314325,0.0521307968171224,0.425166979560118,0.366391215158064,0.3371030941696
250.in,250,1.00000000112109,-0.192321641802515,0.132948862201322,0.313884706350104,0.106567438910408,-0.124955352812521,-0.188919343290822,-0.329975286649598,0.0400214893340543,-0.015203589580048,0.434345487158887,0.367898267081124,0.354796419717708
253.in,253,1.00000000114476,0.0262571495154967,0.250297797754401,0.299801266099605,0.0538891326316222,0.187295314519225,-0.0871700565527641,-0.25469744939346,-0.0074426057064291,0.0875479800123698,0.359290952836979,0.298090427430738,0.380131451705031
